Datum	F	G	N	S	V
2021-11-18	Energie|Gliedstaat|Steuerwesen|Umwelt|Land- und Forstwirtschaft, Fischerei|Umwelt|Familie|Familienleistungsausgleich|Frau|Gleichbehandlung|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|Straßen- und Brückenbau|Energie|Preis|Sozialpolitik|Familie|Informatik|Information und Informationsverarbeitung|Arbeitslosenversicherung|Gesundheit|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften	Gesundheit|Gesundheit|Beschäftigung und Arbeitsbedingungen|Arbeitslosenversicherung|Frau|Gleichbehandlung|Gesundheit|Gesundheit|Gesundheit|Arbeitsrecht|soziale Sicherheit|Tiermedizin|Tierschutz|Beschäftigung und Arbeitsbedingungen|Gesundheit|soziale Sicherheit|Verfassung|soziale Sicherheit|Wirtschaft	Internet|Kulturpolitik|Kunst|Exekutive|Öffentliche Finanzen und Haushaltspolitik|Presse|Öffentliche Finanzen und Haushaltspolitik|Umwelt|direkt gewählte Kammer|Haushaltsplan|Öffentliche Finanzen und Haushaltspolitik|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Vereinte Nationen|Finanzwesen|Energie|Steuerwesen|Umwelt|Energie|Preis|Steuerwesen|Umwelt|Steuerwesen	Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Land- und Forstwirtschaft, Fischerei|Wasser|Wasserbewirtschaftung|Land- und Forstwirtschaft, Fischerei|Umwelt|Wasser|Wasserbewirtschaftung|Familienleistungsausgleich|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Energie|Öffentliche Finanzen und Haushaltspolitik|Preis|Sozialpolitik|Steuerwesen|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Familie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Energie|Steuerwesen|Umwelt|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Vereinte Nationen|Arbeitsrecht|Öffentliche Finanzen und Haushaltspolitik|Zivilschutz|Arbeitslosenversicherung|Sozialpolitik	Gesundheit|Gesundheit|Beschäftigung und Arbeitsbedingungen|Arbeitslosenversicherung|Frau|Gleichbehandlung|Gesundheit|Gesundheit|Gesundheit|Arbeitsrecht|soziale Sicherheit|Tiermedizin|Tierschutz|Beschäftigung und Arbeitsbedingungen|Gesundheit|soziale Sicherheit|Verfassung|soziale Sicherheit|Wirtschaft
2021-11-19	Familie|Familienleistungsausgleich|Informatik|Information und Informationsverarbeitung|Bildung|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Wirtschaft|Bibliothek|Gesundheit|Kulturpolitik|Kunst|Museum|Gesundheit|Menschenrechte|Zivilschutz|Straßenverkehr|Steuerwesen|Umwelt|Familie|Umwelt|Verkehr|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Wirtschaft|Arbeitsrecht|Gesundheit|Gewerbeaufsicht|Bildung|Gesundheit|Organisation des Unterrichtswesens|Bildung|Bürgerliches Recht|Organisation des Unterrichtswesens|Frau|Gleichbehandlung|öffentliche Sicherheit|Telekommunikation|Gesundheit|Menschenrechte|Zivilschutz|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Handel|Industrie|Unternehmen und Wettbewerb|Vereinsleben|Versammlungsfreiheit|Altersversorgungssystem|Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|Apotheke|Gesundheit|soziale Sicherheit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Sozialpolitik|Wirtschaft|Arbeitsrecht|Gesundheit|Wohnungspolitik|Wohnungspolitik|Straßen- und Brückenbau|Gesundheit|Menschenrechte|Zivilschutz|Altersversorgungssystem|soziale Sicherheit|Flüchtling|Strafrecht|Apotheke|Gesundheit	ausländischer Staatsangehöriger|Staatsangehöriger|Handel|Industrie|Maße und Gewichte|Unternehmen und Wettbewerb|Gesundheit|Kulturpolitik|Kunst|Steuerwesen|Gerichtswesen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|öffentliches Eigentum|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Beschäftigung und Arbeitsbedingungen|Land- und Forstwirtschaft, Fischerei|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Verwaltung|öffentlicher Dienst|Finanzwesen|Gesundheit|Verfassung|Europäische Union|Menschenrechte	Elektrizitäts- und Kernkraftindustrie|Europäische Union|Forschung und geistiges Eigentum|Statistik|Wissenschaften	Internationale Beziehungen|Menschenrechte|Internationale Beziehungen|Menschenrechte|Staatsangehöriger|Steuerwesen|Staatswald|Staatswald|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Politik der Zusammenarbeit|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Abfall|Abfallwirtschaft|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Bildung|junger Mensch|Organisation des Unterrichtswesens|Sport|vorschulische Erziehung|Sport|Altersversorgungssystem|Europäische Union|Menschenrechte|Abfall|Abfallwirtschaft|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb	ausländischer Staatsangehöriger|Staatsangehöriger|Handel|Industrie|Maße und Gewichte|Unternehmen und Wettbewerb|Gesundheit|Kulturpolitik|Kunst|Steuerwesen|Gerichtswesen|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|öffentliches Eigentum|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Beschäftigung und Arbeitsbedingungen|Land- und Forstwirtschaft, Fischerei|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Verwaltung|öffentlicher Dienst|Finanzwesen|Gesundheit|Verfassung|Europäische Union|Menschenrechte
2021-11-30		Steuerwesen			Steuerwesen
2021-12-07		Frau|Gesundheit|Gleichbehandlung|Politik der Zusammenarbeit			Frau|Gesundheit|Gleichbehandlung|Politik der Zusammenarbeit
2021-12-09	direkt gewählte Kammer|Elektrizitätsindustrie|Gliedstaat|Zivilschutz|Museum|Straßen- und Brückenbau|Frau|Gesundheit|Gleichbehandlung|Zivilschutz|Flüchtling|Grenze|Strafrecht	partizipative Demokratie|Tiermedizin|Tierschutz	partizipative Demokratie|Tiermedizin|Tierschutz	Gerichtswesen|Informatik|Information und Informationsverarbeitung|Strafrecht|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|Beschäftigung und Arbeitsbedingungen|Betreuung von Pflegebedürftigen|Krankenpflege|Öffentliche Finanzen und Haushaltspolitik|Altersversorgungssystem|Sozialpolitik|Steuerwesen|Museum|Öffentliche Finanzen und Haushaltspolitik	partizipative Demokratie|Tiermedizin|Tierschutz
2021-12-10		Flüchtling|junger Mensch|öffentliche Sicherheit|Statistik	Flüchtling|junger Mensch|öffentliche Sicherheit|Statistik	Flüchtling|junger Mensch|öffentliche Sicherheit|Statistik	Flüchtling|junger Mensch|öffentliche Sicherheit|Statistik
2021-12-15	Exekutive|Presse|Staatsangehöriger|Einkommen|Exekutive|Gesundheit|Verwaltung und Entlohnung des Personals|Betreuung von Pflegebedürftigen|Exekutive|Gesundheit|Krankenpflege|Öffentliche Finanzen und Haushaltspolitik|Presse|Frau|Gesundheit|Gleichbehandlung|Zivilschutz|partizipative Demokratie|Tiermedizin|Tierschutz|Gliedstaat|Handel|Industrie|Unternehmen und Wettbewerb	Staatsangehöriger|Europäische Union|Internationale Beziehungen|Gesundheit|öffentliche Sicherheit	diplomatische Beziehungen|Europäische Union|Internationale Beziehungen|diplomatische Beziehungen|Internationale Beziehungen|Sport|Presse|diplomatische Beziehungen|Internationale Beziehungen|Sport|Exekutive|Presse|Energie|Internationale Beziehungen|Erwachsenenbildung|Flüchtling|Gliedstaat|Gesundheit|soziale Sicherheit|Straßen- und Brückenbau|Umwelt|Verkehr|Staatsangehöriger|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Presse|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb	Energie|Umwelt|Verfassung|Arbeitsrecht|Gesundheit|Arbeitsrecht|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Gerichtswesen|Gesundheit|öffentliche Sicherheit|Exekutive|Presse|Gesundheit|Internationale Beziehungen|Politik der Zusammenarbeit|Beschäftigung und Arbeitsbedingungen|Bildung|Informatik|Information und Informationsverarbeitung|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Geschäftsordnung des Parlaments|parlamentarischer Ausschuss|Staatsangehöriger|Exekutive|Gesundheit|Presse|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|Exekutive|Gesundheit|Presse|Europäische Union|Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei|partizipative Demokratie|Tiermedizin|Tierschutz|Gesundheit|Internationale Beziehungen|Gesundheit|öffentliche Sicherheit|Gesundheit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik	Staatsangehöriger|Europäische Union|Internationale Beziehungen|Gesundheit|öffentliche Sicherheit
2021-12-16	Gesundheit|Menschenrechte|Zivilschutz|Exekutive|öffentliche Verwaltung|öffentlicher Dienst|Presse|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften|Finanzwesen|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Menschenrechte|Zivilschutz|Beschäftigung und Arbeitsbedingungen|Familienleistungsausgleich|junger Mensch|Verkehr|Handel|Industrie|Maße und Gewichte|Unternehmen und Wettbewerb|Gesundheit|Menschenrechte|Energie|Preis|Steuerwesen|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|partizipative Demokratie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Exekutive|Straßen- und Brückenbau|Verfassung|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Umwelt|Gesundheit|Menschenrechte|Zivilschutz|Schienentransport|Umwelt|Straßen- und Brückenbau|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Beschäftigung und Arbeitsbedingungen|Europäische Union|Land- und Forstwirtschaft, Fischerei|Straßen- und Brückenbau	Gesundheit|namentliche Abstimmung|Elektrizitätsindustrie|Energie|Umwelt|Verfassung|Gesundheit|Presse|soziale Sicherheit|Gesundheit|Informatik|Information und Informationsverarbeitung|Zivilschutz	ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Handel|Industrie|Unternehmen und Wettbewerb|Exekutive|Öffentliche Finanzen und Haushaltspolitik|Presse|Haushaltsplan|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Gesundheit|Presse|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Haushaltsplan|Elektrizitätsindustrie|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen	Elektrizitätsindustrie|Energie|Umwelt|Verfassung|Sozialpolitik|Statistik|Umwelt|Gesundheit|Presse|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Zivilschutz|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|partizipative Demokratie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Straßenverkehr|Europäische Union|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Frau|Gleichbehandlung|öffentliche Sicherheit|Schienentransport|Verkehr|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|partizipative Demokratie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Energie|Preis|Umwelt|Wohnungspolitik|Menschenrechte|öffentliche Sicherheit|Strafrecht|Sozialpolitik|Statistik|Umwelt|Beschäftigung und Arbeitsbedingungen|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Europäische Union|Gliedstaat|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Arbeitsrecht|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Wohnungspolitik	Gesundheit|namentliche Abstimmung|Elektrizitätsindustrie|Energie|Umwelt|Verfassung|Gesundheit|Presse|soziale Sicherheit|Gesundheit|Informatik|Information und Informationsverarbeitung|Zivilschutz
2022-01-20	Schienentransport|Umwelt|Energie|Preis|Wirtschaft|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Tourismus|Wirtschaft|Gesundheit|Straßenverkehr|Gesundheit|Preis|Wirtschaft|Gesundheit|Zivilschutz|Gesundheit|Preis|Wirtschaft|Straßen- und Brückenbau|Gesundheit|Handel|Industrie|Steuerwesen|Tourismus|Unternehmen und Wettbewerb|Straßen- und Brückenbau|Gesundheit|Energie|Steuerwesen|Energie|Gesundheit|Preis|Wirtschaft|Flüchtling	Kulturpolitik|Kunst|Sport|Staatsangehöriger|Handel|Industrie|Straßenverkehr|Unternehmen und Wettbewerb|Gesundheit|soziale Sicherheit|Arbeitsrecht|Frau|Gleichbehandlung|Altersversorgungssystem|Schienentransport|öffentliche Sicherheit|soziale Sicherheit|Gesundheit|Verfassung|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|Zivilschutz	Altersversorgungssystem|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Wahl|Ausweis|Familie|Gesundheit|Europäische Union|Internationale Beziehungen|öffentliche Sicherheit|Forschung und geistiges Eigentum|Gesundheit|Hochschulausbildung|Wissenschaften|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|soziale Sicherheit|ausländischer Staatsangehöriger|Familie|Flüchtling|Beschäftigung und Arbeitsbedingungen|Zivildienst|Europäische Union|Internationale Beziehungen|Gliedstaat|vorschulische Erziehung|ausländischer Staatsangehöriger|Familie|Flüchtling|Ausweis|Familie|Gesundheit|soziale Sicherheit|Apotheke|Gesundheit|Steuerwesen|Elektrizitätsindustrie	Tourismus|Wohnungspolitik|Gesundheit|junger Mensch|Strafrecht|Gesundheit|Menschenrechte|Kulturpolitik|Kunst|Museum|Öffentliche Finanzen und Haushaltspolitik|Tourismus|Gesundheit|Tourismus|Wirtschaft|Gesundheit|junger Mensch|Gesundheit|Menschenrechte|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Öffentliche Finanzen und Haushaltspolitik|Energie|Preis|Steuerwesen|Umwelt|Familie|Frau|Gleichbehandlung|öffentliche Sicherheit|Gesundheit|Verfassung|Energie|Handel|Industrie|Preis|Umwelt|Unternehmen und Wettbewerb|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Elektrizitätsindustrie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Wirtschaft|Familie|vorschulische Erziehung|Beschäftigung und Arbeitsbedingungen|Gesundheit|Zivilschutz	Kulturpolitik|Kunst|Sport|Staatsangehöriger|Handel|Industrie|Straßenverkehr|Unternehmen und Wettbewerb|Gesundheit|soziale Sicherheit|Arbeitsrecht|Frau|Gleichbehandlung|Altersversorgungssystem|Schienentransport|öffentliche Sicherheit|soziale Sicherheit|Gesundheit|Verfassung|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|Zivilschutz
2022-02-23	Wohnungspolitik|ausländischer Staatsangehöriger|Europäische Union|Flüchtling|Völkerrecht|Internationale Beziehungen|Politik der Zusammenarbeit|Vereinte Nationen|Flüchtling|Politik der Zusammenarbeit|Altersversorgungssystem|ausländischer Staatsangehöriger|Flüchtling|Völkerrecht|Haushaltsplan|Internationale Beziehungen|Europäische Union|Flüchtling|Altersversorgungssystem|Öffentliche Finanzen und Haushaltspolitik|Altersversorgungssystem|Öffentliche Finanzen und Haushaltspolitik|Sozialpolitik|Familie|Öffentliche Finanzen und Haushaltspolitik|vorschulische Erziehung|Preis|Sozialpolitik|Wirtschaft	Bildung|Forschung und geistiges Eigentum|Frau|Gleichbehandlung|Organisation des Unterrichtswesens|Wissenschaften|Behinderter|Bildung|Organisation des Unterrichtswesens	Altersversorgungssystem|Elektrizitätsindustrie|Föderalismus|Raumordnung|Bildung|Organisation des Unterrichtswesens|soziale Sicherheit|Frau|Gleichbehandlung|öffentliche Sicherheit|Statistik|Steuerwesen|Bildung|Organisation des Unterrichtswesens|Umwelt|Gesundheit|Internationale Beziehungen|Vereinte Nationen|Berufsverband|Politische Partei|Statistik|Vereinsleben|Versammlungsfreiheit|Frau|Gleichbehandlung|öffentliche Sicherheit|Statistik|diplomatische Beziehungen|Internationale Beziehungen|Land- und Forstwirtschaft, Fischerei|Behinderter|Bildung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Ausweis|Hochschulausbildung|Europäische Union|Flüchtling|Fischerei|Handel|Industrie|Jagd|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Frau|Gleichbehandlung|Statistik|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften|Beschäftigung und Arbeitsbedingungen|Tourismus|Fernsehen|Hörfunk|Politische Partei|Frau|Gleichbehandlung|öffentliche Sicherheit|Statistik|Europäische Union|Umwelt|Gesundheit|soziale Sicherheit|Familie|vorschulische Erziehung|Bauindustrie und öffentliches Bauwesen|Baupolitik|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Internationale Beziehungen|Vereinte Nationen|öffentliche Verwaltung|öffentlicher Dienst|Öffentlicher Sektor|Elektrizitätsindustrie|Energie|Steuerwesen|Steuerwesen|Steuerwesen	Altersversorgungssystem|Ausbildungsbeihilfe|Parlamentsdebatte|Preis|Sozialpolitik|Steuerwesen|Energie|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Finanzwesen|Altersversorgungssystem|öffentliche Verwaltung|öffentlicher Dienst|ausländischer Staatsangehöriger|Familienleistungsausgleich|Gesundheit|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|Sozialpolitik|Finanzwesen|Menschenrechte|Verfassung|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|Arbeitsrecht|Familie|Europäische Union|Exekutive|parlamentarischer Ausschuss|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|öffentliche Sicherheit|Umwelt|Museum|öffentliche Verwaltung|öffentlicher Dienst|Finanzwesen|Bürgerliches Recht|Einkommen|Finanzwesen|Verwaltung und Entlohnung des Personals|Gesundheit|Steuerwesen|Wirtschaft|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften|öffentliche Sicherheit|Bürgerliches Recht|Sozialpolitik|Bürgerliches Recht|Handel|Industrie|Unternehmen und Wettbewerb|Altersversorgungssystem|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|junger Mensch|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|Forschung und geistiges Eigentum|Gesundheit|Wissenschaften|Europarat|Frau|Gleichbehandlung|öffentliche Sicherheit|Opferhilfe|Einkommen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verwaltung und Entlohnung des Personals|Wohnungspolitik|Energie|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Energie|Öffentliche Finanzen und Haushaltspolitik|Umwelt	Bildung|Forschung und geistiges Eigentum|Frau|Gleichbehandlung|Organisation des Unterrichtswesens|Wissenschaften|Behinderter|Bildung|Organisation des Unterrichtswesens
2022-02-24	Energie|Umwelt|Energie|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|Strafrecht|Internationale Beziehungen|Kulturpolitik|Kunst|Betreuung von Pflegebedürftigen|Krankenpflege|soziale Sicherheit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Flüchtling|Grenze|Bildung|Organisation des Unterrichtswesens|Tabak|Fernsehen|Hörfunk|Gesundheit|Hochschulausbildung|Finanzwesen|Statistik|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Bildung|Gesundheit|Organisation des Unterrichtswesens|Zivilschutz|Betreuung von Pflegebedürftigen|Krankenpflege|soziale Sicherheit|Familie|Öffentliche Finanzen und Haushaltspolitik|vorschulische Erziehung|Bildung|Gesundheit|Organisation des Unterrichtswesens|Neutralität|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Internationale Beziehungen|Neutralität|Altersversorgungssystem|Preis|Wirtschaft|Betreuung von Pflegebedürftigen|Krankenpflege|soziale Sicherheit	Steuerwesen|Umwelt|Energie|Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Gesundheit|Informatik|Information und Informationsverarbeitung|Trentino-Südtirol|Energie|Preis|Sozialpolitik|Bildung|Organisation des Unterrichtswesens|Energie|Preis|Sozialpolitik|Gesundheit|Gesundheit|ausländischer Staatsangehöriger|öffentliche Sicherheit|Internationale Beziehungen|Vereinte Nationen|Völkerrecht	Internationale Beziehungen|Vereinte Nationen|Völkerrecht|Europäische Union|Internationale Beziehungen|Wirtschaft|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege	Bildung|Gesundheit|Organisation des Unterrichtswesens|vorschulische Erziehung|Föderalismus|vorschulische Erziehung|Frau|Gesundheit|Gleichbehandlung|junger Mensch|Frau|Gesundheit|Gleichbehandlung|Politik der Zusammenarbeit|Beschäftigung und Arbeitsbedingungen|junger Mensch|Gesundheit|Sekundarstufe|Frau|Gesundheit|Gleichbehandlung|junger Mensch|Europarat|Menschenrechte|Föderalismus|vorschulische Erziehung|Internationale Beziehungen|Menschenrechte|Presse|Internationale Beziehungen|Internationale Beziehungen|Vereinte Nationen|Völkerrecht|Gesundheit|Energie|Europäische Union|Gesundheit|Altersversorgungssystem|Öffentliche Finanzen und Haushaltspolitik|Preis	Steuerwesen|Umwelt|Energie|Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|Gesundheit|junger Mensch|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Gesundheit|Informatik|Information und Informationsverarbeitung|Trentino-Südtirol|Energie|Preis|Sozialpolitik|Bildung|Organisation des Unterrichtswesens|Energie|Preis|Sozialpolitik|Gesundheit|Gesundheit|ausländischer Staatsangehöriger|öffentliche Sicherheit|Internationale Beziehungen|Vereinte Nationen|Völkerrecht
